,player_id,playing_season,playing_position,playing_age,team_name,no_of_games_played,no_minutes_played,field_goals_made,field_goals_pctg,three_pointers_made,three_point_pctg,effective_field_goal_pctg,free_thows_made,free_throws_pctg,total_rebounds,no_of_assists,no_of_steals,no_of_blocks,no_of_turnovers,points
18,anderry01,2016,PF,28,HOU,72,29.4,4.5,0.418,2.8,0.403,0.55,1.8,0.86,4.6,0.9,0.4,0.2,0.8,13.6
19,antetgi01,2016,SF,22,MIL,80,35.6,8.2,0.521,0.6,0.272,0.541,5.9,0.77,8.8,5.4,1.6,1.9,2.9,22.9
20,anthoca01,2016,SF,32,NYK,74,34.3,8.1,0.433,2.0,0.359,0.488,4.1,0.833,5.9,2.9,0.8,0.5,2.1,22.4
21,anthojo01,2016,C,34,SAS,19,6.4,0.5,0.625,0.0,0.0,0.625,0.3,0.625,1.6,0.2,0.1,0.3,0.2,1.3
22,arizatr01,2016,SF,31,HOU,80,34.7,4.1,0.409,2.4,0.344,0.528,1.2,0.738,5.7,2.2,1.8,0.3,0.9,11.7
23,arthuda01,2016,PF,28,DEN,41,15.6,2.3,0.442,1.3,0.453,0.565,0.5,0.864,2.7,1.0,0.5,0.5,0.9,6.4
24,asikom01,2016,C,30,NOP,31,15.5,1.0,0.477,0.0,0.0,0.477,0.7,0.59,5.3,0.5,0.2,0.3,0.5,2.7
25,augusdj01,2016,PG,29,ORL,78,19.7,2.5,0.377,1.2,0.347,0.469,1.7,0.814,1.5,2.7,0.4,0.0,1.2,7.9
26,babbilu01,2016,SF,27,MIA,68,15.7,1.7,0.402,1.3,0.414,0.557,0.2,0.733,2.1,0.5,0.3,0.2,0.4,4.8
27,bakerro01,2016,SG,23,NYK,52,16.5,1.6,0.378,0.4,0.267,0.431,0.5,0.651,1.9,2.1,0.7,0.2,1.1,4.1
28,baldwwa01,2016,PG,20,MEM,33,12.3,1.1,0.313,0.1,0.136,0.326,0.9,0.838,1.4,1.8,0.5,0.2,1.2,3.2
29,barbole01,2016,SG,34,PHO,67,14.4,2.6,0.439,0.5,0.357,0.483,0.6,0.889,1.6,1.2,0.5,0.1,0.7,6.3
30,bareajo01,2016,PG,32,DAL,35,22.0,4.1,0.414,1.5,0.358,0.491,1.3,0.863,2.4,5.5,0.4,0.0,1.8,10.9
